aberation           -> aberration
saxaphone           -> saxophone
scaleable           -> scalable
scaricity           -> scarcity
scavanged           -> scavenged
schedual            -> schedule
scholarhip          -> scholarship
scholarstic         -> scholastic
scientfic           -> scientific
scientifc           -> scientific
scince              -> science
scinece             -> science
scirpt              -> script
scoll               -> scroll
screenwrighter      -> screenwriter
scrutinity          -> scrutiny
scuptures           -> sculptures
seach               -> search
seceed              -> secede
secratary           -> secretary
secretery           -> secretary
sedereal            -> sidereal
seeked              -> sought
segementation       -> segmentation
seguoys             -> segues
seige               -> siege
seinor              -> senior
seldomly            -> seldom
senarios            -> scenarios
senstive            -> sensitive
sensure             -> censure
seperat             -> separat
sepina              -> subpoena
sergent             -> sergeant
sernedipity         -> serendipity
serendipiyt         -> serendipity
settelement         -> settlement
settlment           -> settlement
sevral              -> several
sevreal             -> several
severeal            -> several
severley            -> severely
severly             -> severely
sevice              -> service
sexaul              -> sexual
shadasloo           -> shadaloo
shaddow             -> shadow
shadoloo            -> shadaloo
shamen              -> shaman
sheild              -> shield
shineing            -> shining
shiped              -> shipped
shiping             -> shipping
shopkeeepers        -> shopkeepers
shorly              -> shortly
shortwhile          -> short while
shoudl              -> should
shouldnt            -> should not
shreak              -> shriek
shrinked            -> shrunk
:sicne              -> since
sideral             -> sidereal
sieze               -> seize
siezing             -> seizing
siezure             -> seizure
siginificant        -> significant
signficant          -> significant
signficiant         -> significant
signfies            -> signifies
signifantly         -> significantly
significently       -> significantly
signifigant         -> significant
signitories         -> signatories
signitory           -> signatory
similarily          -> similarly
similiar            -> similar
simmilar            -> similar
simpley             -> simply
simplier            -> simpler
simultanous         -> simultaneous
sincerley           -> sincerely
singel              -> single
singsog             -> singsong
skateing            -> skating
slaugterhouses      -> slaughterhouses
slighly             -> slightly
slippy              -> slippery
slowy               -> slowly
smealting           -> smelting
sneeks              -> sneaks
snese               -> sneeze
socalism            -> socialism
socities            -> societies
:socre              -> score
sofware             -> software
soilders            -> soldiers
solatary            -> solitary
soley               -> solely
soliders            -> soldiers
soliliquy           -> soliloquy
soluable            -> soluble
somene              -> someone
somtimes            -> sometimes
somwhere            -> somewhere
sophicated          -> sophisticated
sophmore            -> sophomore
sorceror            -> sorcerer
sorrounding         -> surrounding
sotry               -> story
sotyr               -> story
soudn               -> sound
sould               -> should
sountrack           -> soundtrack
sourth              -> south
souvenier           -> souvenir
:soveit:            -> soviet
sovereignity        -> sovereignty
soverign            -> sovereign
:speach             -> speech
specfic             -> specific
specifiying         -> specifying
speciman            -> specimen
spectauclar         -> spectacular
spectaulars         -> spectaculars
spectogram          -> spectrogram
spectum             -> spectrum
speices             -> species
spendour            -> splendour
spermatozoan        -> spermatozoon
spoace              -> space
sponser             -> sponsor
spontanous          -> spontaneous
sponzored           -> sponsored
spoonfulls          -> spoonfuls
sppeches            -> speeches
spreaded            -> spread
sprech              -> speech
spred               -> spread
spriritual          -> spiritual
spritual            -> spiritual
sqaure              -> square
stablility          -> stability
stainlees           -> stainless
staion              -> station
standars            -> standards
stange              -> strange
startegic           -> strategic
startegies          -> strategies
startegy            -> strategy
stateman            -> statesman
statememts          -> statements
statment            -> statement
steriods            -> steroids
sterotypes          -> stereotypes
stilus              -> stylus
stingent            -> stringent
stiring             -> stirring
stirrs              -> stirs
stlye               -> style
stomache            -> stomach
stong               -> strong
stopry              -> story
storeis             -> stories
storise             -> stories
stornegst           -> strongest
stoyr               -> story
stradegies          -> strategies
stradegy            -> strategy
straght             -> straight
stragiht            -> straight
stratagically       -> strategically
streemlining        -> streamlining
stregth             -> strength
strengh             -> strength
strengtened         -> strengthened
strenous            -> strenuous
strenuos            -> strenuous
strictist           -> strictest
strikely            -> strikingly
strnad              -> strand
structual           -> structural
structuer           -> structure
stubborness         -> stubbornness
stucture            -> structure
studdy              -> study
studing             -> studying
stuggling           -> struggling
sturcture           -> structure
sturctural          -> structural
subjudgation        -> subjugation
submachne           -> submachine
subpecies           -> subspecies
subsidary           -> subsidiary
subsiduary          -> subsidiary
subsquent           -> subsequent
substace            -> substance
substancial         -> substantial
substatial          -> substantial
substituded         -> substituted
substract           -> subtract
subtances           -> substances
subterranian        -> subterranean
suburburban         -> suburban
succceeded          -> succeeded
succcesses          -> successes
succedded           -> succeeded
succeded            -> succeeded
succeds             -> succeeds
succesful           -> successful
succesion           -> succession
succesive           -> successive
successfull         -> successful
successully         -> successfully
succsess            -> success
suceed              -> succeed
sucesful            -> successful
sucesion            -> succession
sucess:             -> success
sucide              -> suicide
sucidial            -> suicidal
sudent              -> student
sufferage           -> suffrage
sufferred           -> suffered
sufferring          -> suffering
sufficent           -> sufficient
sugest              -> suggest
sumary              -> summary
sunglases           -> sunglasses
superceeded         -> superseded
superintendant      -> superintendent
suphisticated       -> sophisticated
suplimented         -> supplemented
supose              -> suppose
suposing            -> supposing
supplamented        -> supplemented
suppliementing      -> supplementing
suppoed             -> supposed
supposingly         -> supposedly
suppy               -> supply
suprassing          -> surpassing
:supress            -> suppress
suprise             -> surprise
suprising           -> surprising
suprize             -> surprise
suprizing           -> surprising
surfce              -> surface
surley              -> surly
suround             -> surround
surplanted          -> supplanted
surpress            -> suppress
surprize            -> surprise
surprizing          -> surprising
surrended           -> surrendered
surrepetitious      -> surreptitious
surreptious         -> surreptitious
surronded           -> surrounded
surrouded           -> surrounded
surrouding          -> surrounding
surrundering        -> surrendering
surveilence         -> surveillance
surveill            -> surveil
surveyer            -> surveyor
surviver            -> survivor
survivied           -> survived
suseptable          -> susceptible
suseptible          -> susceptible
suspention          -> suspension
swaer               -> swear
swepth              -> swept
swiming             -> swimming
symetric            -> symmetric
symetry             -> symmetry
symettric           -> symmetric
symmetral           -> symmetric
symmetricaly        -> symmetrically
syncronization      -> synchronization
synonomous          -> synonymous
synonymns           -> synonyms
synphony            -> symphony
sypmtoms            -> symptoms
syrap               -> syrup
sysmatically        -> systematically
sytem               -> system
sytle               -> style
:szie               -> size
tabacco             -> tobacco
talekd              -> talked
targetted           -> targeted
targetting          -> targeting
tatoo               -> tattoo
tattooes            -> tattoos
taxanomic           -> taxonomic
taxanomy            -> taxonomy
techician           -> technician
techiniques         -> techniques
technitian          -> technician
technnology         -> technology
technolgy           -> technology
telelevision        -> television
televsion           -> television
telphony            -> telephony
temerature          -> temperature
tempalte            -> template
temparate           -> temperate
temperarily         -> temporarily
temperment          -> temperament
tempertaure         -> temperature
temperture          -> temperature
temprary            -> temporary
tenacle             -> tentacle
tendacy             -> tendency
tendancies          -> tendencies
tendancy            -> tendency
tennisplayer        -> tennis player
tepmorarily         -> temporarily
terrestial          -> terrestrial
terriories          -> territories
terriory            -> territory
territorist         -> terrorist
territoy            -> territory
terroist            -> terrorist
testiclular         -> testicular
testomony           -> testimony
theather            -> theater
theese              -> these
theif               -> thief
theives             -> thieves
themselfs           -> themselves
themslves           -> themselves
therafter           -> thereafter
therby              -> thereby
:theri              -> their
therfore            -> therefore
:the:the:           -> the
thgat               -> that
:thier              -> their
thign               -> thing
thigsn              -> things
thikn               -> think
thiink              -> think
thiunk              -> think
thnig               -> thing
thoughout           -> throughout
threatend           -> threatened
threatning          -> threatening
threee              -> three
thresold            -> threshold
threshhold          -> threshold
thrid               -> third
throrough           -> thorough
throughly           -> thoroughly
:throught           -> thought
througout           -> throughout
:thsoe              -> those
tihkn               -> think
timeschedule        -> time schedule
timne               -> time
tiome               -> time
tkaes               -> takes
tkaing              -> taking
tlaking             -> talking
tobbaco             -> tobacco
todya               -> today
toghether           -> together
tolerence           -> tolerance
tolkein             -> Tolkien
tomatos             -> tomatoes
tommorow            -> tomorrow
tommorrow           -> tomorrow
tongiht             -> tonight
tormenters          -> tormentors
tornadoe            -> tornado
torpeados           -> torpedoes
torpedos            -> torpedoes
tortise             -> tortoise
:tothe              -> to the
toubles             -> troubles
tounge              -> tongue
tourch              -> torch
towords             -> towards
towrad              -> toward
tradionally         -> traditionally
traditionaly        -> traditionally
traditionnal        -> traditional
traditition         -> tradition
tradtionally        -> traditionally
trafic              -> traffic
tranform            -> transform
tranpose            -> transpose
transcripting       -> transcription
transending         -> transcending
transfered          -> transferred
transfering         -> transferring
transformaton       -> transformation
transistion         -> transition
translater          -> translator
transmissable       -> transmissible
transporation       -> transportation
trigered            -> triggered
triguered           -> triggered
triology            -> trilogy
troling             -> trolling
truely              -> truly
trustworthyness     -> trustworthiness
:turth              -> truth
:tution             -> tuition
twelth              -> twelfth
typcial             -> typical
typicaly            -> typically
tyranies            -> tyrannies
tyrany              -> tyranny
tyrranies           -> tyrannies
tyrrany             -> tyranny
ubiquitious         -> ubiquitous
:uesd:              -> used
udpate              -> update
ultimely            -> ultimately
unacompanied        -> unaccompanied
unahppy             -> unhappy
unanymous           -> unanimous
unathorised         -> unauthorised
unbeknowst          -> unbeknownst
unbeleivable        -> unbelievable
unchallengable      -> unchallengeable
unconfortability    -> discomfort
uncontitutional     -> unconstitutional
understoon          -> understood
undoubtely          -> undoubtedly
undreground         -> underground
unequalities        -> inequalities
unforseen           -> unforeseen
unforetunately      -> unfortunately
unforgetable        -> unforgettable
unforgiveable       -> unforgivable
unfortunatley       -> unfortunately
unfortunatly        -> unfortunately
unfourtunately      -> unfortunately
unihabited          -> uninhabited
unilateraly         -> unilaterally
unilatreal          -> unilateral
uninterruped        -> uninterrupted
unqiue              -> unique
univeral            -> universal
univeristies        -> universities
univeristy          -> university
univerity           -> university
universtiy          -> university
univesities         -> universities
univesity           -> university
unkown              -> unknown
unlikey             -> unlikely
unmistakeably       -> unmistakably
unoffical           -> unofficial
unoperational       -> nonoperational
unoticeable         -> unnoticeable
unprecendented      -> unprecedented
unprecidented       -> unprecedented
unrepetant          -> unrepentant
unrepetent          -> unrepentant
unsubstanciated     -> unsubstantiated
untranslateable     -> untranslatable
unuseable           -> unusable
unusuable           -> unusable
unviersity          -> university
upgradded           -> upgraded
:usally             -> usually
useage              -> usage
usefull             -> useful
usefuly             -> usefully
useing              -> using
usualy              -> usually
ususally            -> usually
vaccum              -> vacuum
vacinity            -> vicinity
vaguaries           -> vagaries
vaieties            -> varieties
vailidty            -> validity
valuble             -> valuable
valueable           -> valuable
varations           -> variations
varient             -> variant
variey              -> variety
varing              -> varying
varities            -> varieties
varity              -> variety
vasall              -> vassal
vegatarian          -> vegetarian
vegitable           -> vegetable
vegtable            -> vegetable
vehicule            -> vehicle
venemous            -> venomous
vengance            -> vengeance
vengence            -> vengeance
verfication         -> verification
verison             -> version
vermillion          -> vermilion
versitilaty         -> versatility
versitlity          -> versatility
verticies           -> vertices
vetween             -> between
vigilence           -> vigilance
vigourous           -> vigorous
:villian            -> villain
villification       -> vilification
villify             -> vilify
villin              -> villain
vincinity           -> vicinity
violentce           -> violence
virtualy            -> virtually
virutal             -> virtual
visable             -> visible
visably             -> visibly
visting             -> visiting
vistors             -> visitors
vitories            -> victories
volcanoe            -> volcano
voleyball           -> volleyball
volontary           -> voluntary
volonteer           -> volunteer
volounteer          -> volunteer
volumne             -> volume
vreity              -> variety
vriety              -> variety
vulnerablility      -> vulnerability
warantee            -> warranty
wardobe             -> wardrobe
warrent             -> warrant
warrriors           -> warriors
wayword             -> wayward
weaponary           -> weaponry
weild               -> wield
wendsay             -> Wednesday
wensday             -> Wednesday
wereabouts          -> whereabouts
whant               -> want
whcih               -> which
wheras              -> whereas
wherease            -> whereas
whereever           -> wherever
wherre              -> where
whihc               -> which
whlch               -> which
wholey              -> wholly
wholy               -> wholly
whther              -> whether
widesread           -> widespread
widht               -> width
wierd               -> weird
wihch               -> which
wille               -> will
willk               -> will
willingless         -> willingness
wirting             -> writing
withdrawl           -> withdrawal
witheld             -> withheld
withh               -> with
withing             -> within
withold             -> withhold
witht               -> with
wiull               -> will
wnated              -> wanted
wnats               -> wants
wohle               -> whole
wokring             -> working
wonderfull          -> wonderful
wordlwide           -> worldwide
worls               -> world
worstened           -> worsened
woudl               -> would
:wriet              -> write
writen              -> written
wroet               -> wrote
wroking             -> working
wupport             -> support
yaerly              -> yearly
:yaers              -> years
yatch               -> yacht
yearm               -> year
:yeasr              -> years
yeild               -> yield
:yeras              -> years
:yersa              -> years
youself             -> yourself
zeebra              -> zebra
abvove              -> above
acurate             -> accurate
acutally            -> actually
aganist:            -> against
agianst             -> against
ahppn               -> happen
:alot:              -> a lot
apeice              -> apiece
:asthe              -> as the
availalbe           -> available
cacheing            -> caching
cauhgt              -> caught
cieling             -> ceiling
clasic              -> classic
cosnt               -> const
dervied             -> derived
desicion            -> decision
didnot              -> did not
dyanmic             -> dynamic
elpased             -> elapsed
embeded             -> embedded
encypt              -> encrypt
excecut:            -> execut
failse              -> false
fales               -> false
fasle               -> false
flase               -> false
fraciton            -> fraction
freind              -> friend
fromthe             -> from the
heigth              -> height
inclued             -> include
indeces             -> indices
indecies            -> indices
indicies            -> indices
insted              -> instead
interator           -> iterator
invliad             -> invalid
learnign            -> learning
likly               -> likely
listner             -> listener
looup               -> lookup
macthing            -> matching
maintence           -> maintenance
manefist            -> manifest
mesage              -> message
namesapce           -> namespace
namespcae           -> namespace
nulltpr             -> nullptr
operaotr            -> operator
overide             -> override
ovveride            -> override
peolpe              -> people
poeple              -> people
poitner             -> pointer
posess              -> possess
proeprty            -> property
propery             -> property
releated            -> related
resutl              -> result
retrun              -> return
retun:              -> return
reuslt              -> result
reutrn              -> return
satisifed           -> satisfied
scheduel            -> schedule
sequnce             -> sequence
singed              -> signed
somehwat            -> somewhat
stirng              -> string
strign              -> string
swithc              -> switch
swtich              -> switch
teamplate           -> template
throught:           -> thought
:ture               -> true
unsupress           -> unsuppress
vitual              -> virtual
accordingto         -> according to
actualyl            -> actually
addictional         -> additional
additinal           -> additional
advanage            -> advantage
affraid             -> afraid
afterthe            -> after the
agreemeent          -> agreement
agreemnet           -> agreement
allwasy             -> always
allwyas             -> always
almots              -> almost
alraedy             -> already
alreday             -> already
alwats              -> always
andone              -> and one
:andt:he:           -> and the
:anothe:            -> another
appeares            -> appears
applyed             -> applied
appointiment        -> appointment
approrpiate         -> appropriate
approrpriate        -> appropriate
asdvertising        -> advertising
assistent           -> assistant
atention            -> attention
attentioin          -> attention
authetication       -> authentication
balence             -> balance
ballance            -> balance
beacause            -> because
becausea            -> because a
becauseof           -> because of
becausethe          -> because the
becauseyou          -> because you
becomming           -> becoming
becuse              -> because
beginining          -> beginning
behabviour          -> behaviour
behaivior           -> behaviour
beleiev             -> believe
beutiful            -> beautiful
brodcast            -> broadcast
butthe              -> but the
caharcter           -> character
calcullated         -> calculated
candidtae           -> candidate
caontains           -> contains
capabilites         -> capabilities
categiory           -> category
chaneg              -> change
changeing           -> changing
changng             -> changing
charecter           -> character
charector           -> character
colection           -> collection
comanies            -> companies
comapnies           -> companies
combintation        -> combination
commadn             -> command
committy            -> committee
comntain            -> contain
compleated          -> completed
compleatly          -> completely
compleatness        -> completeness
completly           -> completely
completness         -> completeness
complteted          -> completed
composate           -> composite
compteted           -> completed
comtain             -> contain
comunicate          -> communicate
comunity            -> community
condersider         -> consider
condolances         -> condolences
conferance          -> conference
configration        -> configuration
confirmmation       -> confirmation
conjuntion          -> conjunction
considerit:         -> considerate
considerite         -> considerate
conspiricy          -> conspiracy
consultent          -> consultant
consumeable         -> consumable
contitions          -> conditions
controlable         -> controllable
cooparate           -> cooperate
cooporate           -> cooperate
corproation         -> corporation
corrospond          -> correspond
corruptable         -> corruptible
cotten              -> cotton
couldthe            -> could the
ctaegory            -> category
cusotmer            -> customer
cutsomer            -> customer
danceing            -> dancing
dcument             -> document
deatils             -> details
definded            -> defined
deptartment         -> department
determin:           -> determine
develeopr           -> developers
devellop            -> develop
developor           -> developer
devloped            -> developed
diaplay             -> display
difefrent           -> different
diferences          -> differences
differance          -> difference
differant           -> different
differemt           -> different
directer            -> director
directiosn          -> direction
discoverd           -> discovered
disign              -> design
dispaly             -> display
dissonent           -> dissonant
distribusion        -> distribution
divsion             -> division
docuement           -> documents
docuemnt            -> document
documetn            -> document
documnet            -> document
doese               -> does
doimg               -> doing
doind               -> doing
dollers             -> dollars
driveing            -> driving
enahancement        -> enhancement
enought:            -> enough
equivalant          -> equivalent
especally           -> especially
espesially          -> especially
exchagne            -> exchange
excitment           -> excitement
exhcange            -> exchange
experienc:          -> experience
exprience           -> experience
faeture             -> feature
familair            -> familiar
familar             -> familiar
fammiliar           -> familiar
fifith              -> fifth
finnally            -> finally
foloowing           -> following
forthe:             -> for the
forwrd              -> forward
fromt:he            -> from the
furneral            -> funeral
gemeral             -> general
gerneral            -> general
geting              -> getting
gettin:             -> getting
gievn               -> given
giveing             -> giving
gloabl              -> global
gruop               -> group
guidlines           -> guidelines
hadbeen             -> had been
hasbeen             -> has been
havebeen            -> have been
haveing             -> having
hearign             -> hearing
heire               -> he-ire
helpdesk            -> help-desk
helpfull            -> helpful
herat               -> heart
:hesaid             -> he said
:hewas              -> he was
hiten               -> hitting
hitten              -> hitting
howerver            -> however
:htese              -> these
hwich               -> which
identifiy           -> identify
identofy            -> identify
imediate:           -> immediate
imediatly           -> immediately
impilies            -> implies
implemenation       -> implementation
importent           -> important
importnat           -> important
improvemnt          -> improvement
includ:             -> include
indecate            -> indicate
indenpendent        -> independent
indepedent          -> independent
influance           -> influence
informatoin         -> information
instaleld           -> installed
inteh               -> in the
interum             -> interim
inthe               -> in the
inturn              -> in turn
invitaion           -> invitation
invstigated         -> investigated
inwhich             -> in which
isthe               -> is the
ititial             -> initial
itnerest            -> interest
itwas               -> it was
ivestigative        -> investigative
jugment             -> judgment
knowldge            -> knowledge
knwon               -> known
knwos               -> knows
konwn               -> known
konws               -> knows
languange           -> language
lastyear            -> last year
librarry            -> library
librery             -> library
lieutenent          -> lieutenant
litttle             -> little
liveing             -> living
lookign             -> looking
makeing             -> making
merchent            -> merchant
necassarily         -> necessarily
necassary           -> necessary
negotiaing          -> negotiating
occurrance          -> occurrence
oeprator            -> operator
ofits               -> of its
ofthe               -> of the
ohter               -> other
onepoint            -> one point
:onthe:             -> on the
opcode              -> op-code
operaror            -> operator
oppasite            -> opposite
opperation          -> operation
oppertunity         -> opportunity
opposate            -> opposite
opposible           -> opposable
opposit:            -> opposite
oppotunities        -> opportunities
oppotunity          -> opportunity
orginization        -> organization
originial:          -> original
orignal:            -> original
:outof:             -> out of
overthe:            -> over the
owuld               -> would
oxident             -> oxidant
papaer              -> paper
partof              -> part of
paymetn             -> payment
pciture             -> picture
percentof           -> percent of
percentto           -> percent to
perminent           -> permanent
perscriptions       -> prescriptions
personalyl          -> personally
porblem             -> problem
porvide             -> provide
postition           -> position
potentialy          -> potentially
prefure             -> prefer
pregnent            -> pregnant
prelease            -> release
presance            -> presence
privleged           -> privileged
problesm            -> problems
proctetion          -> protection
protction           -> protection
protoge             -> protege
psoition            -> position
ptogress            -> progress
:puting             -> putting
:quater             -> quarter
:quesion            -> question
questioms           -> questions
questiosn           -> questions
questoin            -> question
:quetion            -> question
:raidus             -> radius
regardsless         -> regardless
regession           -> regression
regresion           -> regression
relize              -> realize
reloacted           -> relocated
reltaed             -> related
reluctent           -> reluctant
reommend            -> recommend
representativs      -> representatives
represetned         -> represented
represnt            -> represent
reserach            -> research
resollution         -> resolution
resorces            -> resources
respomd             -> respond
respomse            -> response
responsable         -> responsible
restuarant          -> restaurant
reult               -> result
:rumers             -> rumors
runnning            -> running
:rythm:             -> rhythm
:saidhe             -> said he
:saidit             -> said it
:saidthat           -> said that
:saidthe            -> said the
scedule             -> schedule
securtiy            -> security
selectoin           -> selection
sentance            -> sentence
separeate           -> separate
sercumstances       -> circumstances
serveral            -> several
shcool              -> school
shesaid             -> she said
showinf             -> showing
signifacnt          -> significant
simalar             -> similar
simpilified         -> simplified
simpyl              -> simply
sincerly            -> sincerely
sitll               -> still
soical              -> social
someting            -> something
somewaht            -> somewhat
somthing            -> something
specificaly         -> specifically
stnad               -> stand
strentgh            -> strength
:stroy:             -> story
struggel            -> struggle
strugle             -> struggle
studnet             -> student
substitued          -> substituted
successfuly         -> successfully
sucessfull          -> successful
sufficiant          -> sufficient
suppossed           -> supposed
talior              -> tailor
talkign             -> talking
tecnical            -> technical
terminiated         -> terminated
termoil             -> turmoil
tghis               -> this
thansk              -> thanks
thatthe             -> that the
thecompany          -> the company
thefirst            -> the first
thegovernment       -> the government
thenew              -> the new
thesame             -> the same
thetwo              -> the two
thisyear            -> this year
tiogether           -> together
togehter            -> together
tomorow             -> tomorrow
tonihgt             -> tonight
totaly              -> totally
truley              -> truly
tyhat               -> that
udnerstand          -> understand
:undert:he          -> under the
unliek              -> unlike
unregistared        -> unregistered
vulnerible          -> vulnerable
wethee              -> whether
willbe:             -> will be
windoes             -> windows
witha:              -> with a
wouldbe             -> would be
writting            -> writing
wuould              -> would
youare              -> you are
